price,bedrooms,bathrooms,floorsize,address
"$899,000",2 bds,2 ba,"1,572 sqft","200 Harbor Dr UNIT 901, San Diego, CA 92101"
"$355,000",2 bds,2 ba,912 sqft,"10291 Bell Gardens Dr UNIT 7, Santee, CA 92071"
"$179,000",2 bds,2 ba,885 sqft,"2700 Golf Club Dr APT 64, Palm Springs, CA 92264"
"$561,000",2 bds,2 ba,"1,171 sqft","7 Greenmoor #19, Irvine, CA 92614"
"$349,900",2 bds,2 ba,912 sqft,"9840 Shirley Gardens Dr UNIT 2, Santee, CA 92071"
"$405,000",2 bds,3 ba,"1,466 sqft","1035 Villorrio Dr N, Palm Springs, CA 92262"
"$449,900",3 bds,3 ba,"1,336 sqft","13333 Citicourt Ln, Whittier, CA 90602"
"$299,900",2 bds,3 ba,"1,109 sqft","223 S Acacia Ave APT 214, Compton, CA 90220"
"$1,995,000",4 bds,3 ba,"2,403 sqft","909 Central Ave, San Francisco, CA 94115"
"$625,000",3 bds,2 ba,"1,353 sqft","210 Village Bay #1, Lake Arrowhead, CA 92352"
"$27,000,000",4 bds,8 ba,"9,290 sqft","1 W Century Dr PH 40, Los Angeles, CA 90067"
"$410,000",2 bds,2 ba,"1,040 sqft","620 W Lambert Rd UNIT 6, La Habra, CA 90631"
"$679,000",3 bds,1 ba,874 sqft,"1264A Golden Gate Ave, San Francisco, CA 94115"
"$395,000",2 bds,2 ba,820 sqft,"623 Walnut Ave APT 9, Long Beach, CA 90802"
"$475,000",3 bds,3 ba,"2,830 sqft","625 Hospitality Dr, Rancho Mirage, CA 92270"
"$310,000",2 bds,1 ba,836 sqft,"321 Rancho Dr UNIT 38, Chula Vista, CA 91911"
"$430,647",3 bds,2 ba,"1,382 sqft","49002 Cinnamon Fern Cmn UNIT 312, Fremont, CA 94539"
"$875,000",2 bds,2 ba,"1,387 sqft","1325 Pacific Hwy UNIT 506, San Diego, CA 92101"
"$699,000",2 bds,2 ba,894 sqft,"538 Avenue A APT 5, Redondo Beach, CA 90277"
"$270,000",2 bds,1 ba,854 sqft,"1547 Broadway UNIT 39, Chula Vista, CA 91911"
"$499,900",3 bds,4 ba,"2,182 sqft","763 Box Canyon Trl, Palm Desert, CA 92211"
"$345,000",2 bds,1 ba,830 sqft,"1485 Obispo Ave APT 8, Long Beach, CA 90804"
"$1,288,888",4 bds,3 ba,"2,814 sqft","123 Stellar, Irvine, CA 92618"
"$879,999",2 bds,2 ba,"1,249 sqft","2385 Roscomare Rd UNIT E10, Los Angeles, CA 90077"
"$615,000",4 bds,3 ba,"1,993 sqft","1823 Casa Morro St UNIT 19, Chula Vista, CA 91915"
"$735,000",2 bds,2 ba,"1,106 sqft","12030 Rochester Ave APT 103, Los Angeles, CA 90025"
"$275,000",2 bds,1 ba,906 sqft,"3660 Vista Campana N UNIT 20, Oceanside, CA 92057"
"$995,000",3 bds,2 ba,"1,469 sqft","1447 Manhattan Beach Blvd #5, Manhattan Beach, CA 90266"
"$533,786",2 bds,1 ba,783 sqft,"330 Berry St UNIT 407, San Francisco, CA 94158"
"$799,000",2 bds,2 ba,"1,123 sqft","950 N Kings Rd UNIT 324, West Hollywood, CA 90069"
"$218,000",2 bds,2 ba,"1,165 sqft","6979 Palm Ct APT 110, Riverside, CA 92506"
"$240,000",2 bds,2 ba,"1,169 sqft","2115 El Domingo Cir, Lancaster, CA 93536"
"$350,000",2 bds,3 ba,"1,179 sqft","8732 Pinecrest Pl, Rancho Cucamonga, CA 91730"
"$334,000",3 bds,4 ba,"1,560 sqft","5301 E Commerce Way UNIT 70104, Sacramento, CA 95835"
"$310,000",3 bds,2 ba,"1,072 sqft","233 Quadra Ave, Rio Linda, CA 95673"
"$556,340",3 bds,2 ba,"1,018 sqft","513 Palisades Dr, Pacific Palisades, CA 90272"
"$359,900",2 bds,2 ba,944 sqft,"420 Stoney Point Way UNIT 114, Oceanside, CA 92058"
"$315,900",2 bds,2 ba,952 sqft,"6100 Rugby Ave UNIT 108, Huntington Park, CA 90255"
"$2,895,000",3 bds,2 ba,"1,900 sqft","2459 Buchanan St, San Francisco, CA 94115"
"$379,000",2 bds,2 ba,"1,595 sqft","1329 E Amado Rd, Palm Springs, CA 92262"
"$299,900",3 bds,2 ba,"1,428 sqft","6762 Bertran Ct, Citrus Heights, CA 95621"
"$735,000",3 bds,4 ba,"1,777 sqft","284 Novel, Irvine, CA 92618"
"$815,000",2 bds,2 ba,"1,432 sqft","4407 Francis Ave APT 301, Los Angeles, CA 90005"
"$450,000",2 bds,3 ba,"1,385 sqft","685 N Lark Ellen Ave, Covina, CA 91722"
"$450,000",4 bds,3 ba,"1,278 sqft","356 Cherry Hills Ln, Azusa, CA 91702"
"$399,900",3 bds,2 ba,"1,200 sqft","21702 Jack Pl, Santa Clarita, CA 91350"
"$415,000",3 bds,2 ba,"1,693 sqft","33 Leon Way, Rancho Mirage, CA 92270"
"$309,999",3 bds,3 ba,"1,475 sqft","40160 La Cota Dr, Palmdale, CA 93550"
"$309,999",3 bds,3 ba,"1,633 sqft","30505 Canyon Hills Rd UNIT 1601, Lake Elsinore, CA 92532"
"$409,500",3 bds,2 ba,"1,018 sqft","729 S Knott Ave APT 208, Anaheim, CA 92804"
"$255,000",1 bd,2 ba,712 sqft,"5460 White Oak Ave UNIT E314, Encino, CA 91316"
"$749,000",2 bds,2 ba,"1,268 sqft","8180 Manitoba St APT 106, Los Angeles, CA 90293"
"$625,000",2 bds,2 ba,"1,180 sqft","901 Caminito Estrada UNIT C, Carlsbad, CA 92011"
"$461,700",2 bds,3 ba,"1,476 sqft","6466 Hollis St UNIT 325, Emeryville, CA 94608"
"$488,000",3 bds,2 ba,"1,574 sqft","1191 N Diamond Bar Blvd, Diamond Bar, CA 91765"
"$815,000",4 bds,3 ba,"1,887 sqft","19 Bradford, Irvine, CA 92602"
"$399,000",2 bds,2 ba,"1,622 sqft","45400 Driftwood Dr, Palm Desert, CA 92260"
"$319,900",3 bds,3 ba,"1,565 sqft","30505 Canyon Hills Rd UNIT 1702, Lake Elsinore, CA 92532"
"$338,000",2 bds,2 ba,"1,340 sqft","31078 Strawberry Tree Ln #7, Temecula, CA 92592"
"$499,000",2 bds,1 ba,894 sqft,"7037 La Tijera Blvd APT C202, Los Angeles, CA 90045"
"$710,000",3 bds,2 ba,"1,050 sqft","1550 Ofarrell St APT 6, San Francisco, CA 94115"
"$129,000",3 bds,2 ba,"1,682 sqft","7233 Amador Ct, Corning, CA 96021"
"$529,000",2 bds,2 ba,"1,098 sqft","605 N Louise St UNIT 208, Glendale, CA 91206"
"$369,900",3 bds,2 ba,"1,052 sqft","790 Simpson Pl, Santa Rosa, CA 95401"
"$255,000",2 bds,2 ba,"1,478 sqft","67694 Duke Rd UNIT 105, Cathedral City, CA 92234"
"$399,000",3 bds,2 ba,"1,075 sqft","4109 Carol Dr UNIT C, Fullerton, CA 92833"
"$335,000",2 bds,2 ba,"1,048 sqft","2365 S Reservoir St #32, Pomona, CA 91766"
"$292,001",Studio,1 ba,383 sqft,"1515 15th St APT 401, San Francisco, CA 94103"
"$998,000",2 bds,1 ba,"1,024 sqft","275 Burnett Ave APT 8, San Francisco, CA 94131"
"$420,000",3 bds,2 ba,"1,236 sqft","242 Lindell Ave, El Cajon, CA 92020"
"$390,000",3 bds,3 ba,"1,458 sqft","241 E Cottonwood St, Ontario, CA 91761"
"$885,000",2 bds,3 ba,"1,210 sqft","700 E Union St UNIT 207, Pasadena, CA 91101"
