price,bedrooms,bathrooms,floorsize,city,zipcode
649888,2,2,1111,Pasadena,91101
454000,3,2,1210,CanogaPark,91303
230000,1,1,573,SanDiego,92115
149900,2,2,1056,Lancaster,93535
999000,3,2,1420,SanFrancisco,94110
395990,2,2,963,Newhall,91381
648800,2,2,1040,Fremont,94538
165000,1,1,800,SealBeach,90740
479000,2,2,1431,SanDiego,92128
1499000,4,3,2173,SanFrancisco,94131
290000,2,2,1101,Temecula,92592
335000,2,2,1227,LagunaWoods,92637
799000,6,2,2302,Folsom,95630
201250,2,1,753,SanDiego,92113
639000,3,3,1824,Cerritos,90703
149000,2,2,1177,CathedralCity,92234
434000,5,3,2256,Stockton,95209
355000,2,2,1003,SpringValley,91977
299995,2,2,1159,Murrieta,92562
460000,2,3,1440,SantaClarita,91350
999000,3,2,1418,SanFrancisco,94121
265900,3,3,2029,AppleValley,92307
1479000,2,1,1720,SanFrancisco,94118
497000,3,2,1716,Modesto,95357
500000,1,2,760,Alhambra,91801
245000,3,1,851,Richmond,94801
229000,1,1,720,LosAngeles,91356
674950,3,3,1560,NorthHollywood,91601
340000,2,2,1404,SantaAna,92701
369000,2,3,1204,Pomona,91766
624990,3,3,1476,RanchoMissionViejo,92694
269500,3,2,1245,Antelope,95843
1005000,2,2,1094,SanFrancisco,94121
599900,2,2,922,Oakland,94607
319000,1,1,524,Oakland,94611
657000,1,1,908,LosAngeles,90012
179500,2,2,1009,LagunaWoods,92637
459000,2,2,1092,Encinitas,92024
349975,2,2,861,ElCajon,92019
244950,4,2,1196,Modesto,95351
338000,0,1,426,WestHollywood,90046
1995000,2,2,2008,SanFrancisco,94115
25000000,4,4,5360,SanFrancisco,94109
390000,2,2,960,Whittier,90603
499000,2,2,1082,SanDiego,92128
700000,2,2,1258,DanaPoint,92629
1250000,2,2,1218,SanFrancisco,94105
399000,1,1,504,Pasadena,91101
455000,2,2,981,Inglewood,90302
475000,2,2,871,Irvine,92614
186500,2,1,847,LagunaWoods,92637
625000,3,2,1442,Glendale,91206
379900,2,1,625,LosAngeles,90065
329998,1,1,881,SimiValley,93065
150000,1,1,600,SealBeach,90740
699888,2,2,998,FosterCity,94404
385000,2,2,832,MontereyPark,91755
739950,3,3,1704,Hayward,94541
399888,2,2,1000,Hayward,94544
330000,1,1,682,SanDiego,92108
775000,1,1,528,SanFrancisco,94109
459000,2,2,770,LosAngeles,90038
649000,2,3,3002,PalmSprings,92264
759000,2,2,1540,LosAngeles,90020
250000,1,1,472,Tarzana,91356
1099000,1,1,1032,SanFrancisco,94111
